source,periodType,date,instrument,period,price
GFI,BITR,2023-07-19,TD3C,2023-07-01,53.58
GFI,BITR,2023-07-19,TD20,2023-07-01,90.45
GFI,BITR,2023-07-19,TD7,2023-07-01,135.0
GFI,BITR,2023-07-19,TD8,2023-07-01,159.0
GFI,BITR,2023-07-19,TD25,2023-07-01,179.69
GFI,BITR,2023-07-19,TD22,2023-07-01,7830556.0
GFI,BITR,2023-07-19,TD19,2023-07-01,122.5
GFI,MTD,2023-07-19,TD3C,2023-07-01,53.65
GFI,MTD,2023-07-19,TD20,2023-07-01,91.75
GFI,MTD,2023-07-19,TD7,2023-07-01,132.14
GFI,MTD,2023-07-19,TD8,2023-07-01,169.84
GFI,MTD,2023-07-19,TD25,2023-07-01,158.94
GFI,MTD,2023-07-19,TD22,2023-07-01,7822916.62
GFI,MTD,2023-07-19,TD19,2023-07-01,126.99
GFI,monthly,2023-07-19,TD3C,2023-07-01,53.0
GFI,monthly,2023-07-19,TD20,2023-07-01,92.5
GFI,monthly,2023-07-19,TD7,2023-07-01,132.5
GFI,monthly,2023-07-19,TD8,2023-07-01,167.0
GFI,monthly,2023-07-19,TD25,2023-07-01,159.0
GFI,monthly,2023-07-19,TD22,2023-07-01,7.75
GFI,monthly,2023-07-19,TD19,2023-07-01,127.0
GFI,monthly,2023-07-19,TD3C,2023-08-01,52.5
GFI,monthly,2023-07-19,TD20,2023-08-01,87.75
GFI,monthly,2023-07-19,TD7,2023-08-01,131.0
GFI,monthly,2023-07-19,TD8,2023-08-01,163.0
GFI,monthly,2023-07-19,TD25,2023-08-01,153.0
GFI,monthly,2023-07-19,TD22,2023-08-01,7.55
GFI,monthly,2023-07-19,TD19,2023-08-01,128.0
GFI,monthly,2023-07-19,TD3C,2023-09-01,54.75
GFI,monthly,2023-07-19,TD20,2023-09-01,92.0
GFI,monthly,2023-07-19,TD7,2023-09-01,130.0
GFI,monthly,2023-07-19,TD8,2023-09-01,155.0
GFI,monthly,2023-07-19,TD25,2023-09-01,154.5
GFI,monthly,2023-07-19,TD22,2023-09-01,7.9
GFI,monthly,2023-07-19,TD19,2023-09-01,130.0
GFI,monthly,2023-07-19,TD3C,2023-10-01,56.5
GFI,monthly,2023-07-19,TD20,2023-10-01,95.0
GFI,monthly,2023-07-19,TD7,2023-10-01,135.0
GFI,monthly,2023-07-19,TD8,2023-10-01,155.0
GFI,monthly,2023-07-19,TD25,2023-10-01,161.0
GFI,monthly,2023-07-19,TD22,2023-10-01,8.35
GFI,monthly,2023-07-19,TD19,2023-10-01,140.0
GFI,monthly,2023-07-19,TD3C,2023-11-01,60.5
GFI,monthly,2023-07-19,TD20,2023-11-01,99.0
GFI,monthly,2023-07-19,TD7,2023-11-01,145.0
GFI,monthly,2023-07-19,TD8,2023-11-01,160.0
GFI,monthly,2023-07-19,TD25,2023-11-01,164.5
GFI,monthly,2023-07-19,TD22,2023-11-01,9.1
