source,periodType,date,instrument,period,uom,value
GFI,BAL,2026-08-10,TD3C,2026-08-01,WSC,468.25
GFI,M,2026-08-10,TD3C,2026-08-01,WSC,465.0
GFI,M,2026-08-10,TD3C,2026-09-01,WSC,420.0
GFI,M,2026-08-10,TD3C,2026-10-01,WSC,340.0
GFI,M,2026-08-10,TD3C,2026-11-01,WSC,325.0
GFI,M,2026-08-10,TD3C,2026-12-01,WSC,302.5
GFI,M,2026-08-10,TD3C,2027-01-01,WSC,235.53
GFI,M,2026-08-10,TD3C,2027-02-01,WSC,181.1
GFI,M,2026-08-10,TD3C,2027-03-01,WSC,156.36
GFI,Q,2026-08-10,TD3C,2026-10-01,WSC,322.5
GFI,Q,2026-08-10,TD3C,2027-01-01,WSC,190.99
GFI,Q,2026-08-10,TD3C,2027-04-01,WSC,144.98
GFI,Q,2026-08-10,TD3C,2027-07-01,WSC,102.67
GFI,Q,2026-08-10,TD3C,2027-10-01,WSC,112.57
GFI,Q,2026-08-10,TD3C,2028-01-01,WSC,95.74
GFI,Q,2026-08-10,TD3C,2028-04-01,WSC,85.85
GFI,A,2026-08-10,TD3C,2027-01-01,WSC,137.8
GFI,A,2026-08-10,TD3C,2028-01-01,WSC,85.85
GFI,A,2026-08-10,TD3C,2029-01-01,WSC,75.21
GFI,BAL,2026-08-10,TD20,2026-08-01,WSC,214.02
GFI,M,2026-08-10,TD20,2026-08-01,WSC,204.3
GFI,M,2026-08-10,TD20,2026-09-01,WSC,225.0
GFI,M,2026-08-10,TD20,2026-10-01,WSC,210.0
GFI,M,2026-08-10,TD20,2026-11-01,WSC,202.5
GFI,M,2026-08-10,TD20,2026-12-01,WSC,195.0
GFI,M,2026-08-10,TD20,2027-01-01,WSC,172.12
GFI,M,2026-08-10,TD20,2027-02-01,WSC,152.37
GFI,M,2026-08-10,TD20,2027-03-01,WSC,132.62
GFI,Q,2026-08-10,TD20,2026-10-01,WSC,202.5
GFI,Q,2026-08-10,TD20,2027-01-01,WSC,152.37
GFI,Q,2026-08-10,TD20,2027-04-01,WSC,115.69
GFI,Q,2026-08-10,TD20,2027-07-01,WSC,104.4
GFI,Q,2026-08-10,TD20,2027-10-01,WSC,124.15
GFI,Q,2026-08-10,TD20,2028-01-01,WSC,115.69
GFI,Q,2026-08-10,TD20,2028-04-01,WSC,104.4
GFI,A,2026-08-10,TD20,2027-01-01,WSC,124.15
GFI,A,2026-08-10,TD20,2028-01-01,WSC,104.4
GFI,A,2026-08-10,TD20,2029-01-01,WSC,91.42
GFI,BAL,2026-08-10,TD7,2026-08-01,WSC,209.17
GFI,M,2026-08-10,TD7,2026-08-01,WSC,210.0
GFI,M,2026-08-10,TD7,2026-09-01,WSC,200.0
GFI,M,2026-08-10,TD7,2026-10-01,WSC,195.0
GFI,M,2026-08-10,TD7,2026-11-01,WSC,185.0
GFI,M,2026-08-10,TD7,2026-12-01,WSC,175.0
GFI,M,2026-08-10,TD7,2027-01-01,WSC,149.06
GFI,M,2026-08-10,TD7,2027-02-01,WSC,144.13
GFI,M,2026-08-10,TD7,2027-03-01,WSC,139.19
