source,periodType,date,instrument,period,uom,value
GFI,MONTHLY,2023-06-19,TD3,2023-06-01,WSC,71.0
GFI,MONTHLY,2023-06-19,TD20,2023-06-01,WSC,117.0
GFI,MONTHLY,2023-06-19,TD7,2023-06-01,WSC,140.0
GFI,MONTHLY,2023-06-19,TD8,2023-06-01,WSC,180.0
GFI,MONTHLY,2023-06-19,TD25,2023-06-01,WSC,181.5
GFI,MONTHLY,2023-06-19,TD22,2023-06-01,LSM,9.4
GFI,MONTHLY,2023-06-19,TD19,2023-06-01,WSC,145.0
GFI,MONTHLY,2023-06-19,TD3,2023-07-01,WSC,55.0
GFI,MONTHLY,2023-06-19,TD20,2023-07-01,WSC,113.0
GFI,MONTHLY,2023-06-19,TD7,2023-07-01,WSC,135.0
GFI,MONTHLY,2023-06-19,TD8,2023-07-01,WSC,170.0
GFI,MONTHLY,2023-06-19,TD25,2023-07-01,WSC,183.0
GFI,MONTHLY,2023-06-19,TD22,2023-07-01,LSM,9.6
GFI,MONTHLY,2023-06-19,TD19,2023-07-01,WSC,140.0
GFI,MONTHLY,2023-06-19,TD3,2023-08-01,WSC,45.0
GFI,MONTHLY,2023-06-19,TD20,2023-08-01,WSC,91.0
GFI,MONTHLY,2023-06-19,TD7,2023-08-01,WSC,132.5
GFI,MONTHLY,2023-06-19,TD8,2023-08-01,WSC,160.0
GFI,MONTHLY,2023-06-19,TD25,2023-08-01,WSC,169.75
GFI,MONTHLY,2023-06-19,TD22,2023-08-01,LSM,7.75
GFI,MONTHLY,2023-06-19,TD19,2023-08-01,WSC,135.0
GFI,MONTHLY,2023-06-19,TD3,2023-09-01,WSC,46.5
GFI,MONTHLY,2023-06-19,TD20,2023-09-01,WSC,89.0
GFI,MONTHLY,2023-06-19,TD7,2023-09-01,WSC,130.0
GFI,MONTHLY,2023-06-19,TD8,2023-09-01,WSC,150.0
GFI,MONTHLY,2023-06-19,TD25,2023-09-01,WSC,166.25
GFI,MONTHLY,2023-06-19,TD22,2023-09-01,LSM,7.75
GFI,MONTHLY,2023-06-19,TD19,2023-09-01,WSC,130.0
GFI,MONTHLY,2023-06-19,TD3,2023-10-01,WSC,53.0
GFI,MONTHLY,2023-06-19,TD20,2023-10-01,WSC,96.0
GFI,MONTHLY,2023-06-19,TD7,2023-10-01,WSC,135.0
GFI,MONTHLY,2023-06-19,TD8,2023-10-01,WSC,155.0
GFI,MONTHLY,2023-06-19,TD25,2023-10-01,WSC,169.0
GFI,MONTHLY,2023-06-19,TD22,2023-10-01,LSM,8.85
GFI,MONTHLY,2023-06-19,TD19,2023-10-01,WSC,140.0
GFI,MONTHLY,2023-06-19,TD3,2023-11-01,WSC,56.5
GFI,MONTHLY,2023-06-19,TD20,2023-11-01,WSC,104.0
GFI,MONTHLY,2023-06-19,TD7,2023-11-01,WSC,145.0
GFI,MONTHLY,2023-06-19,TD8,2023-11-01,WSC,160.0
GFI,MONTHLY,2023-06-19,TD25,2023-11-01,WSC,176.5
GFI,MONTHLY,2023-06-19,TD22,2023-11-01,LSM,9.35
GFI,MONTHLY,2023-06-19,TD19,2023-11-01,WSC,150.0
GFI,MONTHLY,2023-06-19,TD3,2023-12-01,WSC,63.0
GFI,MONTHLY,2023-06-19,TD20,2023-12-01,WSC,112.0
GFI,MONTHLY,2023-06-19,TD7,2023-12-01,WSC,155.0
GFI,MONTHLY,2023-06-19,TD8,2023-12-01,WSC,165.0
GFI,MONTHLY,2023-06-19,TD25,2023-12-01,WSC,187.0
GFI,MONTHLY,2023-06-19,TD22,2023-12-01,LSM,10.35
GFI,MONTHLY,2023-06-19,TD19,2023-12-01,WSC,165.0
GFI,MONTHLY,2023-06-19,TD3,2024-01-01,PMT,14.1
GFI,MONTHLY,2023-06-19,TD20,2024-01-01,PMT,18.55
GFI,MONTHLY,2023-06-19,TD7,2024-01-01,PMT,10.9
GFI,MONTHLY,2023-06-19,TD8,2024-01-01,PMT,20.7
GFI,MONTHLY,2023-06-19,TD25,2024-01-01,PMT,36.0
GFI,MONTHLY,2023-06-19,TD22,2024-01-01,LSM,30.740741
GFI,MONTHLY,2023-06-19,TD19,2024-01-01,PMT,15.2
GFI,QUARTERLY,2023-06-19,TD3,2023-07-01,WSC,48.833333
GFI,QUARTERLY,2023-06-19,TD20,2023-07-01,WSC,97.666667
GFI,QUARTERLY,2023-06-19,TD7,2023-07-01,WSC,132.5
GFI,QUARTERLY,2023-06-19,TD8,2023-07-01,WSC,160.0
GFI,QUARTERLY,2023-06-19,TD25,2023-07-01,WSC,173.0
GFI,QUARTERLY,2023-06-19,TD22,2023-07-01,LSM,8.366667
GFI,QUARTERLY,2023-06-19,TD19,2023-07-01,WSC,135.0
GFI,QUARTERLY,2023-06-19,TD3,2023-10-01,WSC,57.5
GFI,QUARTERLY,2023-06-19,TD20,2023-10-01,WSC,104.0
GFI,QUARTERLY,2023-06-19,TD7,2023-10-01,WSC,145.0
GFI,QUARTERLY,2023-06-19,TD8,2023-10-01,WSC,160.0
GFI,QUARTERLY,2023-06-19,TD25,2023-10-01,WSC,177.5
GFI,QUARTERLY,2023-06-19,TD22,2023-10-01,LSM,9.516667
GFI,QUARTERLY,2023-06-19,TD19,2023-10-01,WSC,151.666667
GFI,QUARTERLY,2023-06-19,TD3,2024-01-01,PMT,13.1
GFI,QUARTERLY,2023-06-19,TD20,2024-01-01,PMT,17.05
GFI,QUARTERLY,2023-06-19,TD7,2024-01-01,PMT,10.7
GFI,QUARTERLY,2023-06-19,TD8,2024-01-01,PMT,20.7
GFI,QUARTERLY,2023-06-19,TD25,2024-01-01,PMT,36.0
GFI,QUARTERLY,2023-06-19,TD22,2024-01-01,LSM,30.740741
GFI,QUARTERLY,2023-06-19,TD19,2024-01-01,PMT,15.2
GFI,QUARTERLY,2023-06-19,TD3,2024-04-01,PMT,11.55
GFI,QUARTERLY,2023-06-19,TD20,2024-04-01,PMT,13.8
GFI,QUARTERLY,2023-06-19,TD7,2024-04-01,PMT,10.3
GFI,QUARTERLY,2023-06-19,TD8,2024-04-01,PMT,20.3
GFI,QUARTERLY,2023-06-19,TD25,2024-04-01,PMT,29.8
GFI,QUARTERLY,2023-06-19,TD22,2024-04-01,LSM,27.037037
