"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG3"
"BITR","51.21","81.82","134.29","158.36","147.19","7850000.00","120.33","171.00","136.67","170.56","172.06","103.75","139.25","212.86","2266667.00","81.82","222.86","2875000.00","106.14","171.57"
"BITR Change","-0.79","-1.59","-0.71","0.29","-13.75","66667.00","-0.06","11.25","-1.66","1.39","-2.50","2.19","0.87","-2.85","0.00","-1.59","14.29","68750.00","-1.71","-0.64"
"MTD","53.32","90.16","132.63","167.67","159.24","7821050.31","125.80","139.18","125.78","141.98","176.23","115.78","141.69","188.30","2324739.63","90.16","188.95","2837890.63","109.45","174.22"
"MTD Change","-0.14","-0.56","0.11","-0.62","-0.86","1929.98","-0.36","2.12","0.78","1.91","-0.28","-0.80","-0.16","1.64","-3871.51","-0.56","2.26","2473.96","-0.22","-0.18"
"Jul-23","53.00","88.45","132.50","165.00","156.18","7.80","126.00","145.00","128.00","148.00","174.81","115.60","143.00","192.00","2.32","88.45","196.00","2.85","108.86","173.71"
"Aug-23","52.25","87.50","131.00","163.00","147.00","7.80","128.00","155.00","127.25","150.00","175.00","138.00","170.00","197.00","2.24","87.50","212.00","3.30","105.00","165.00"
"Sep-23","54.75","90.50","130.00","155.00","152.00","8.20","130.00","155.00","125.25","135.00","178.50","145.00","175.00","190.00","2.16","90.50","215.00","3.35","98.00","155.00"
"Oct-23","57.00","95.00","135.00","155.00","159.00","8.55","140.00","163.00","126.00","130.00","189.00","150.00","185.00","190.00","2.24","95.00","220.00","3.50","95.00","150.00"
"Nov-23","61.50","99.00","145.00","160.00","164.50","9.20","150.00","168.00","128.00","135.00","215.00","155.00","192.50","195.00","2.32","99.00","222.00","3.60","95.00","150.00"
"Q3-23","53.33","88.82","131.17","161.00","151.73","7.93","128.00","151.67","126.83","144.33","176.10","132.87","162.67","193.00","2.24","88.82","207.67","3.17","103.95","164.57"
"Q4-23","61.75","99.00","145.00","160.00","164.50","9.25","151.67","168.00","128.00","135.00","211.33","155.00","192.50","195.00","2.32","99.00","222.00","3.60","94.33","150.00"
"Q1-24","13.50","17.15","10.70","23.00","36.15","31.11","16.50","25.30","28.00","8.00","13.10","37.83","42.70","39.50","28.20","17.15","28.50","38.89","75.00","120.00"
"Cal24","13.00","14.90","10.50","22.00","32.00","29.91","15.50","23.75","27.00","7.31","12.84","36.52","42.50","39.00","28.00","14.90","27.80","36.11","69.00","111.88"
"Cal25","12.35","14.35","10.25","21.50","31.00","28.33","14.80","23.15","25.85","7.00","12.50","35.85","42.25","37.25","27.00","14.35","27.20","33.33","63.50","103.75"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
