"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","38.33","78.18","94.29","112.50","96.88","7277778.00","85.72","175.50","85.83","195.56","279.44","166.25","201.88","262.86","2912500.00","78.18","288.57","3912500.00","158.29","","222.43"
"BITR Change","0.91","1.13","-7.82","2.14","-3.12","66667.00","0.78","-3.00","-1.25","5.56","-5.00","-3.13","6.07","6.79","8333.00","1.13","-2.14","-18750.00","2.86","","-0.28"
"MTD","36.90","72.84","96.64","105.35","104.80","7195486.08","91.18","184.35","116.32","191.13","229.07","153.50","196.21","250.52","2921875.00","72.84","290.06","3838132.42","147.02","","208.32"
"MTD Change","0.13","0.81","-0.95","2.61","-3.41","-16493.04","-2.95","-2.80","-14.27","0.13","16.23","7.00","0.32","3.58","-5729.13","0.81","0.24","22340.04","4.58","","-5.18"
"Sep-23","39.87","75.63","95.50","107.00","106.00","7.20","90.00","180.00","107.00","191.00","252.57","157.77","195.00","250.00","2.88","75.63","287.00","3.75","107.39","","220.00"
"Oct-23","53.00","85.00","105.00","125.00","129.00","8.00","110.00","172.00","120.00","185.00","268.00","156.00","217.00","230.00","2.64","85.00","253.00","3.80","98.07","","225.00"
"Nov-23","60.00","96.00","115.00","137.00","141.50","8.65","125.00","187.00","132.00","195.00","293.00","166.00","192.50","240.00","2.72","96.00","258.00","3.90","152.67","120.00","215.00"
"Dec-23","65.00","104.00","125.00","145.25","158.50","9.30","145.00","199.00","150.00","205.00","309.00","175.00","200.00","250.00","2.80","104.00","278.00","3.95","146.50","110.00","205.00"
"Jan-24","59.81","94.81","125.47","143.11","145.85","9.25","147.70","182.85","128.26","165.71","265.50","165.50","174.71","196.08","2.56","94.81","238.26","3.95","127.00","100.00","180.00"
"Q4-23","59.33","95.00","115.00","135.75","143.00","8.65","126.67","186.00","134.00","195.00","290.00","165.67","203.17","240.00","2.72","95.00","263.00","3.88","102.80","","215.00"
"Q1-24","56.33","86.96","122.95","137.15","141.53","8.70","143.35","174.13","124.12","158.50","261.63","159.99","174.71","193.63","2.56","86.96","234.47","3.85","131.83","102.67","170.00"
"Q2-24","12.80","14.60","9.25","21.00","29.75","29.26","15.50","26.40","26.75","10.00","14.65","41.20","42.30","38.50","30.00","14.60","28.70","40.00","104.50","84.67","135.00"
"Cal24","13.30","15.45","9.13","21.75","30.60","31.11","15.50","25.56","27.75","10.00","15.44","41.50","42.50","39.00","30.00","15.45","29.20","40.00","84.00","68.00","141.75"
"Cal25","12.95","14.20","8.90","21.50","29.10","29.26","14.80","25.00","27.10","9.00","12.75","37.20","42.25","37.25","29.00","14.20","27.70","34.44","68.25","58.00","114.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
