"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","50.60","108.44","174.17","200.36","208.33","8165000.00","153.17","159.69","168.57","166.67","167.22","238.13","0.00","0.00","3700000.00","108.44","340.71","6237500.00","64.14","65.80","118.14"
"BITR Change","-0.30","-3.45","-4.68","0.00","-1.11","-35000.00","-2.05","0.00","21.43","0.56","-4.17","2.50","0.00","0.00","-8333.00","-3.45","2.14","81250.00","0.14","-0.20","1.00"
"MTD","53.25","112.02","169.81","206.97","209.87","8455954.55","179.59","159.75","196.95","187.23","203.76","238.84","264.99","322.32","3946590.91","112.02","354.41","6116477.27","77.30","75.18","134.43"
"MTD Change","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Jun-24","52.68","109.75","168.00","203.50","202.75","8.22","170.00","163.50","198.32","180.00","195.40","234.25","250.00","310.00","3.76","109.75","337.00","6.00","72.21","71.06","127.35"
"Jul-24","52.50","95.00","145.00","185.00","176.00","7.40","165.00","181.00","180.00","170.00","212.50","215.00","225.00","265.00","2.88","95.00","306.00","5.60","68.50","67.00","122.00"
"Aug-24","53.00","84.00","134.00","165.00","161.00","7.50","145.00","176.75","158.50","160.00","205.00","204.50","205.00","240.00","2.76","84.00","279.00","5.30","69.00","67.00","122.00"
"Sep-24","54.50","88.00","134.00","167.50","162.00","7.70","138.00","177.75","159.50","150.00","195.50","201.50","195.00","245.00","2.68","88.00","267.00","5.00","70.00","67.00","122.00"
"Oct-24","63.25","100.00","150.00","180.00","174.75","8.85","142.00","180.00","160.50","160.00","223.00","199.00","200.00","245.00","2.68","100.00","273.00","5.20","73.50","69.00","125.00"
"Q3-24","53.33","89.00","137.67","172.50","166.33","7.53","149.33","178.50","166.00","160.00","204.33","207.00","208.33","250.00","2.77","89.00","284.00","5.30","69.17","67.00","122.00"
"Q4-24","68.25","107.00","155.67","185.00","184.42","9.50","145.00","185.00","169.50","167.50","253.00","195.00","210.00","240.00","2.76","107.00","278.00","5.40","74.50","69.00","123.50"
"Q1-25","66.24","102.86","148.46","156.44","173.33","9.20","144.72","192.31","146.23","164.96","214.00","177.14","186.93","206.75","2.62","102.86","255.27","5.00","67.00","67.00","119.00"
"Cal25","13.80","94.70","10.80","22.70","33.85","32.59","14.75","27.95","31.00","10.50","15.15","39.80","40.00","37.25","2.56","16.25","28.75","4.50","66.75","68.25","123.25"
"Cal26","13.15","88.87","10.30","22.20","32.20","30.93","14.35","25.95","28.50","10.00","13.80","37.70","39.00","37.00","2.56","15.25","27.45","3.90","66.75","68.25","123.25"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
