"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to ARA","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","411.11","295.00","335.00","467.86","554.17","21722222.00","488.89","246.25","507.14","416.67","532.22","401.88","243.44","309.64","9130000.00","295.00","610.00","7243750.00","","89.25","164.83"
"BITR Change","10.55","22.22","35.00","-16.43","92.50","-1208334.00","37.78","13.12","37.14","14.45","110.55","7.50","9.06","41.78","534000.00","22.22","18.57","-3125.00","","-2.50","-4.33"
"MTD","449.71","277.64","236.33","516.58","331.27","23312777.75","343.59","225.04","401.07","376.39","372.62","399.08","254.57","260.23","7804312.50","277.64","449.97","7700130.63","107.05","83.09","149.29"
"MTD Change","-2.57","22.22","6.58","-3.25","14.86","-106037.05","9.69","1.41","7.07","2.69","10.64","0.19","-0.74","3.29","88379.17","22.22","10.67","-30425.38","0.00","0.41","1.04"
"Mar-26","438.84","15.82","250.00","510.00","166.55","23.00","380.00","18.60","26.00","350.00","14.35","386.00","250.00","270.00","8.00","15.82","470.00","7.50","110.00","85.27","153.00"
"Apr-26","315.00","15.99","230.00","340.00","145.55","20.00","240.00","18.30","26.90","300.00","12.97","415.00","200.00","225.00","6.40","15.99","350.00","6.00","120.50","79.00","164.00"
"May-26","211.00","15.59","187.50","290.00","145.55","17.00","200.00","17.80","26.50","230.00","12.67","330.00","186.00","215.00","5.60","15.59","270.00","5.00","110.00","75.00","157.00"
"Jun-26","164.00","15.19","155.00","240.00","145.55","12.00","175.00","17.30","26.10","170.00","12.37","280.00","175.00","195.50","4.80","15.19","245.00","4.50","98.00","72.00","152.00"
"Jul-26","136.00","13.40","147.00","190.00","123.86","11.50","150.00","16.10","23.50","150.00","10.84","250.00","162.00","180.00","4.00","13.40","225.00","4.00","92.00","67.00","150.00"
"Q2-26","230.00","15.59","190.83","290.00","145.55","16.33","205.00","17.80","26.50","233.33","12.67","341.67","187.00","211.83","5.60","15.59","288.33","5.17","109.50","75.33","157.67"
"Q3-26","127.00","13.40","143.00","173.33","123.86","11.25","140.00","16.10","23.50","141.67","10.84","240.00","162.00","170.00","3.60","13.40","220.00","3.53","87.00","67.00","148.00"
"Q4-26","24.86","14.50","14.64","25.88","28.20","42.59","17.26","2.70","5.52","10.80","0.87","50.72","35.73","31.12","2.96","2.46","24.93","3.30","82.00","64.00","144.00"
"Cal27","17.40","76.80","12.90","20.82","25.47","32.08","14.00","16.65","22.93","9.80","11.45","34.00","34.50","34.55","2.48","13.04","21.19","3.15","64.00","53.50","114.50"
"Cal28","14.60","66.61","12.40","20.25","23.23","28.52","13.55","16.20","20.26","9.55","11.10","27.50","34.25","34.30","2.48","11.31","19.30","3.00","49.25","43.00","95.00"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
