source,periodType,date,instrument,period,price
GFI,BITR,2026-05-07,TD3C,2026-05-01,458.75
GFI,BITR,2026-05-07,TD20,2026-05-01,195.56
GFI,BITR,2026-05-07,TD7,2026-05-01,201.67
GFI,BITR,2026-05-07,TD8,2026-05-01,419.29
GFI,BITR,2026-05-07,TD25,2026-05-01,292.22
GFI,BITR,2026-05-07,TD22,2026-05-01,17261111.00
GFI,BITR,2026-05-07,TD19,2026-05-01,266.67
GFI,MTD,2026-05-07,TD3C,2026-05-01,446.72
GFI,MTD,2026-05-07,TD20,2026-05-01,192.43
GFI,MTD,2026-05-07,TD7,2026-05-01,222.40
GFI,MTD,2026-05-07,TD8,2026-05-01,425.89
GFI,MTD,2026-05-07,TD25,2026-05-01,367.64
GFI,MTD,2026-05-07,TD22,2026-05-01,16164250.00
GFI,MTD,2026-05-07,TD19,2026-05-01,277.79
GFI,M,2026-05-07,TD3C,2026-05-01,465.00
GFI,M,2026-05-07,TD20,2026-05-01,15.59
GFI,M,2026-05-07,TD7,2026-05-01,230.00
GFI,M,2026-05-07,TD8,2026-05-01,380.00
GFI,M,2026-05-07,TD25,2026-05-01,145.55
GFI,M,2026-05-07,TD22,2026-05-01,16.25
GFI,M,2026-05-07,TD19,2026-05-01,275.00
GFI,M,2026-05-07,TD3C,2026-06-01,392.00
GFI,M,2026-05-07,TD20,2026-06-01,15.19
GFI,M,2026-05-07,TD7,2026-06-01,210.00
GFI,M,2026-05-07,TD8,2026-06-01,280.00
GFI,M,2026-05-07,TD25,2026-06-01,145.55
GFI,M,2026-05-07,TD22,2026-06-01,14.50
GFI,M,2026-05-07,TD19,2026-06-01,190.00
GFI,M,2026-05-07,TD3C,2026-07-01,310.00
GFI,M,2026-05-07,TD20,2026-07-01,13.40
GFI,M,2026-05-07,TD7,2026-07-01,170.00
GFI,M,2026-05-07,TD8,2026-07-01,202.00
GFI,M,2026-05-07,TD25,2026-07-01,123.86
GFI,M,2026-05-07,TD22,2026-07-01,13.20
GFI,M,2026-05-07,TD19,2026-07-01,150.00
GFI,M,2026-05-07,TD3C,2026-08-01,220.00
GFI,M,2026-05-07,TD20,2026-08-01,13.40
GFI,M,2026-05-07,TD7,2026-08-01,165.00
GFI,M,2026-05-07,TD8,2026-08-01,177.00
GFI,M,2026-05-07,TD25,2026-08-01,123.86
GFI,M,2026-05-07,TD22,2026-08-01,12.50
