source,periodType,date,instrument,period,uom,value
GFI,BITR,2026-05-07,TD3,2026-05-01,WSC,458.75
GFI,BITR,2026-05-07,TD20,2026-05-01,WSC,195.56
GFI,BITR,2026-05-07,TD7,2026-05-01,WSC,201.67
GFI,BITR,2026-05-07,TD8,2026-05-01,WSC,419.29
GFI,BITR,2026-05-07,TD25,2026-05-01,WSC,292.22
GFI,BITR,2026-05-07,TD22,2026-05-01,LSM,17.261111
GFI,BITR,2026-05-07,TD19,2026-05-01,WSC,266.67
GFI,M,2026-05-07,TD3,2026-05-01,WSC,465.0
GFI,M,2026-05-07,TD20,2026-05-01,WSC,205.0
GFI,M,2026-05-07,TD7,2026-05-01,WSC,230.0
GFI,M,2026-05-07,TD8,2026-05-01,WSC,380.0
GFI,M,2026-05-07,TD25,2026-05-01,WSC,307.0
GFI,M,2026-05-07,TD22,2026-05-01,LSM,16.25
GFI,M,2026-05-07,TD19,2026-05-01,WSC,275.0
GFI,M,2026-05-07,TD3,2026-06-01,WSC,392.0
GFI,M,2026-05-07,TD20,2026-06-01,WSC,202.5
GFI,M,2026-05-07,TD7,2026-06-01,WSC,210.0
GFI,M,2026-05-07,TD8,2026-06-01,WSC,280.0
GFI,M,2026-05-07,TD25,2026-06-01,WSC,305.0
GFI,M,2026-05-07,TD22,2026-06-01,LSM,14.5
GFI,M,2026-05-07,TD19,2026-06-01,WSC,190.0
GFI,M,2026-05-07,TD3,2026-07-01,WSC,310.0
GFI,M,2026-05-07,TD20,2026-07-01,WSC,165.0
GFI,M,2026-05-07,TD7,2026-07-01,WSC,170.0
GFI,M,2026-05-07,TD8,2026-07-01,WSC,202.0
GFI,M,2026-05-07,TD25,2026-07-01,WSC,250.0
GFI,M,2026-05-07,TD22,2026-07-01,LSM,13.2
GFI,M,2026-05-07,TD19,2026-07-01,WSC,150.0
GFI,M,2026-05-07,TD3,2026-08-01,WSC,220.0
GFI,M,2026-05-07,TD20,2026-08-01,WSC,138.0
GFI,M,2026-05-07,TD7,2026-08-01,WSC,165.0
GFI,M,2026-05-07,TD8,2026-08-01,WSC,177.0
GFI,M,2026-05-07,TD25,2026-08-01,WSC,210.0
GFI,M,2026-05-07,TD22,2026-08-01,LSM,12.5
GFI,M,2026-05-07,TD19,2026-08-01,WSC,135.0
GFI,M,2026-05-07,TD3,2026-09-01,WSC,178.0
GFI,M,2026-05-07,TD20,2026-09-01,WSC,126.0
GFI,M,2026-05-07,TD7,2026-09-01,WSC,160.0
GFI,M,2026-05-07,TD8,2026-09-01,WSC,177.0
GFI,M,2026-05-07,TD25,2026-09-01,WSC,200.0
GFI,M,2026-05-07,TD22,2026-09-01,LSM,11.95
GFI,M,2026-05-07,TD19,2026-09-01,WSC,135.0
GFI,M,2026-05-07,TD3,2026-10-01,WSC,195.0
GFI,M,2026-05-07,TD20,2026-10-01,WSC,136.0
GFI,M,2026-05-07,TD7,2026-10-01,WSC,167.0
GFI,M,2026-05-07,TD8,2026-10-01,WSC,190.0
GFI,M,2026-05-07,TD25,2026-10-01,WSC,220.0
GFI,M,2026-05-07,TD22,2026-10-01,LSM,12.75
GFI,M,2026-05-07,TD19,2026-10-01,WSC,135.0
GFI,M,2026-05-07,TD3,2026-11-01,WSC,202.5
GFI,M,2026-05-07,TD20,2026-11-01,WSC,148.0
GFI,M,2026-05-07,TD7,2026-11-01,WSC,169.0
GFI,M,2026-05-07,TD8,2026-11-01,WSC,200.0
GFI,M,2026-05-07,TD25,2026-11-01,WSC,230.0
GFI,M,2026-05-07,TD22,2026-11-01,LSM,13.5
GFI,M,2026-05-07,TD19,2026-11-01,WSC,145.0
GFI,M,2026-05-07,TD3,2026-12-01,WSC,210.0
GFI,M,2026-05-07,TD20,2026-12-01,WSC,154.0
GFI,M,2026-05-07,TD7,2026-12-01,WSC,174.0
GFI,M,2026-05-07,TD8,2026-12-01,WSC,205.0
GFI,M,2026-05-07,TD25,2026-12-01,WSC,240.0
GFI,M,2026-05-07,TD22,2026-12-01,LSM,14.25
GFI,M,2026-05-07,TD19,2026-12-01,WSC,150.0
GFI,Q,2026-05-07,TD3,2026-07-01,WSC,236.0
GFI,Q,2026-05-07,TD20,2026-07-01,WSC,143.0
GFI,Q,2026-05-07,TD7,2026-07-01,WSC,165.0
GFI,Q,2026-05-07,TD8,2026-07-01,WSC,185.333333
GFI,Q,2026-05-07,TD25,2026-07-01,WSC,220.0
GFI,Q,2026-05-07,TD22,2026-07-01,LSM,12.55
GFI,Q,2026-05-07,TD19,2026-07-01,WSC,140.0
GFI,Q,2026-05-07,TD3,2026-10-01,WSC,202.5
GFI,Q,2026-05-07,TD20,2026-10-01,WSC,146.0
GFI,Q,2026-05-07,TD7,2026-10-01,WSC,170.0
GFI,Q,2026-05-07,TD8,2026-10-01,WSC,198.333333
GFI,Q,2026-05-07,TD25,2026-10-01,WSC,230.0
GFI,Q,2026-05-07,TD22,2026-10-01,LSM,13.5
GFI,Q,2026-05-07,TD19,2026-10-01,WSC,143.333333
GFI,Q,2026-05-07,TD3,2027-01-01,PMT,29.0
GFI,Q,2026-05-07,TD20,2027-01-01,PMT,22.0
GFI,Q,2026-05-07,TD7,2027-01-01,PMT,14.0
GFI,Q,2026-05-07,TD8,2027-01-01,PMT,22.5
GFI,Q,2026-05-07,TD25,2027-01-01,PMT,44.25
GFI,Q,2026-05-07,TD22,2027-01-01,LSM,10.2
GFI,Q,2026-05-07,TD19,2027-01-01,PMT,14.75
GFI,Q,2026-05-07,TD3,2027-04-01,PMT,20.5
GFI,Q,2026-05-07,TD20,2027-04-01,PMT,20.0
GFI,Q,2026-05-07,TD7,2027-04-01,PMT,13.5
GFI,Q,2026-05-07,TD8,2027-04-01,PMT,20.5
GFI,Q,2026-05-07,TD25,2027-04-01,PMT,37.75
GFI,Q,2026-05-07,TD22,2027-04-01,LSM,8.7
GFI,Q,2026-05-07,TD19,2027-04-01,PMT,13.25
GFI,Q,2026-05-07,TD3,2027-07-01,PMT,15.75
GFI,Q,2026-05-07,TD20,2027-07-01,PMT,18.0
GFI,Q,2026-05-07,TD7,2027-07-01,PMT,12.9
GFI,Q,2026-05-07,TD8,2027-07-01,PMT,19.1
GFI,Q,2026-05-07,TD25,2027-07-01,PMT,34.25
GFI,Q,2026-05-07,TD22,2027-07-01,LSM,7.7
GFI,Q,2026-05-07,TD19,2027-07-01,PMT,13.0
GFI,Q,2026-05-07,TD3,2027-10-01,PMT,16.75
GFI,Q,2026-05-07,TD20,2027-10-01,PMT,20.0
GFI,Q,2026-05-07,TD7,2027-10-01,PMT,13.4
GFI,Q,2026-05-07,TD8,2027-10-01,PMT,21.2
GFI,Q,2026-05-07,TD25,2027-10-01,PMT,36.75
GFI,Q,2026-05-07,TD22,2027-10-01,LSM,8.6
GFI,Q,2026-05-07,TD19,2027-10-01,PMT,15.0
GFI,Q,2026-05-07,TD3,2028-01-01,PMT,18.5
GFI,Q,2026-05-07,TD20,2028-01-01,PMT,19.5
GFI,Q,2026-05-07,TD7,2028-01-01,PMT,14.7
GFI,Q,2026-05-07,TD8,2028-01-01,PMT,22.25
GFI,Q,2026-05-07,TD25,2028-01-01,PMT,37.0
GFI,Q,2026-05-07,TD22,2028-01-01,LSM,9.35
GFI,Q,2026-05-07,TD19,2028-01-01,PMT,15.55
GFI,A,2026-05-07,TD3,2027-01-01,PMT,20.5
GFI,A,2026-05-07,TD20,2027-01-01,PMT,20.0
GFI,A,2026-05-07,TD7,2027-01-01,PMT,13.45
GFI,A,2026-05-07,TD8,2027-01-01,PMT,20.825
GFI,A,2026-05-07,TD25,2027-01-01,PMT,38.25
GFI,A,2026-05-07,TD22,2027-01-01,LSM,8.8
GFI,A,2026-05-07,TD19,2027-01-01,PMT,14.0
GFI,A,2026-05-07,TD3,2028-01-01,PMT,16.5
GFI,A,2026-05-07,TD20,2028-01-01,PMT,17.5
GFI,A,2026-05-07,TD7,2028-01-01,PMT,12.7
GFI,A,2026-05-07,TD8,2028-01-01,PMT,20.25
GFI,A,2026-05-07,TD25,2028-01-01,PMT,35.0
GFI,A,2026-05-07,TD22,2028-01-01,LSM,7.35
GFI,A,2026-05-07,TD19,2028-01-01,PMT,13.55
GFI,A,2026-05-07,TD3,2029-01-01,PMT,15.9
GFI,A,2026-05-07,TD20,2029-01-01,PMT,16.5
GFI,A,2026-05-07,TD7,2029-01-01,PMT,12.6
GFI,A,2026-05-07,TD8,2029-01-01,PMT,19.7
GFI,A,2026-05-07,TD25,2029-01-01,PMT,33.5
GFI,A,2026-05-07,TD22,2029-01-01,LSM,7.15
GFI,A,2026-05-07,TD19,2029-01-01,PMT,13.25
GFI,BITR,2026-05-08,TD3,2026-05-01,WSC,460.63
GFI,BITR,2026-05-08,TD20,2026-05-01,WSC,199.44
GFI,BITR,2026-05-08,TD7,2026-05-01,WSC,200.0
GFI,BITR,2026-05-08,TD8,2026-05-01,WSC,418.21
GFI,BITR,2026-05-08,TD25,2026-05-01,WSC,290.28
GFI,BITR,2026-05-08,TD22,2026-05-01,LSM,17.883333
GFI,BITR,2026-05-08,TD19,2026-05-01,WSC,240.56
GFI,M,2026-05-08,TD3,2026-05-01,WSC,460.0
GFI,M,2026-05-08,TD20,2026-05-01,WSC,205.0
GFI,M,2026-05-08,TD7,2026-05-01,WSC,230.0
GFI,M,2026-05-08,TD8,2026-05-01,WSC,380.0
GFI,M,2026-05-08,TD25,2026-05-01,WSC,311.0
GFI,M,2026-05-08,TD22,2026-05-01,LSM,17.0
GFI,M,2026-05-08,TD19,2026-05-01,WSC,275.0
GFI,M,2026-05-08,TD3,2026-06-01,WSC,400.0
GFI,M,2026-05-08,TD20,2026-06-01,WSC,202.5
GFI,M,2026-05-08,TD7,2026-06-01,WSC,210.0
GFI,M,2026-05-08,TD8,2026-06-01,WSC,280.0
GFI,M,2026-05-08,TD25,2026-06-01,WSC,300.0
GFI,M,2026-05-08,TD22,2026-06-01,LSM,15.5
GFI,M,2026-05-08,TD19,2026-06-01,WSC,190.0
GFI,M,2026-05-08,TD3,2026-07-01,WSC,310.0
GFI,M,2026-05-08,TD20,2026-07-01,WSC,165.0
GFI,M,2026-05-08,TD7,2026-07-01,WSC,170.0
GFI,M,2026-05-08,TD8,2026-07-01,WSC,202.0
GFI,M,2026-05-08,TD25,2026-07-01,WSC,255.0
GFI,M,2026-05-08,TD22,2026-07-01,LSM,13.5
GFI,M,2026-05-08,TD19,2026-07-01,WSC,150.0
GFI,M,2026-05-08,TD3,2026-08-01,WSC,224.5
GFI,M,2026-05-08,TD20,2026-08-01,WSC,138.0
GFI,M,2026-05-08,TD7,2026-08-01,WSC,165.0
GFI,M,2026-05-08,TD8,2026-08-01,WSC,177.0
GFI,M,2026-05-08,TD25,2026-08-01,WSC,205.0
GFI,M,2026-05-08,TD22,2026-08-01,LSM,12.75
GFI,M,2026-05-08,TD19,2026-08-01,WSC,135.0
GFI,M,2026-05-08,TD3,2026-09-01,WSC,167.5
GFI,M,2026-05-08,TD20,2026-09-01,WSC,126.0
GFI,M,2026-05-08,TD7,2026-09-01,WSC,160.0
GFI,M,2026-05-08,TD8,2026-09-01,WSC,177.0
GFI,M,2026-05-08,TD25,2026-09-01,WSC,200.0
GFI,M,2026-05-08,TD22,2026-09-01,LSM,12.0
GFI,M,2026-05-08,TD19,2026-09-01,WSC,135.0
GFI,M,2026-05-08,TD3,2026-10-01,WSC,192.0
GFI,M,2026-05-08,TD20,2026-10-01,WSC,134.0
GFI,M,2026-05-08,TD7,2026-10-01,WSC,167.0
GFI,M,2026-05-08,TD8,2026-10-01,WSC,190.0
GFI,M,2026-05-08,TD25,2026-10-01,WSC,220.0
GFI,M,2026-05-08,TD22,2026-10-01,LSM,12.75
GFI,M,2026-05-08,TD19,2026-10-01,WSC,135.0
GFI,M,2026-05-08,TD3,2026-11-01,WSC,200.0
GFI,M,2026-05-08,TD20,2026-11-01,WSC,147.0
GFI,M,2026-05-08,TD7,2026-11-01,WSC,169.0
GFI,M,2026-05-08,TD8,2026-11-01,WSC,200.0
GFI,M,2026-05-08,TD25,2026-11-01,WSC,230.0
GFI,M,2026-05-08,TD22,2026-11-01,LSM,13.5
GFI,M,2026-05-08,TD19,2026-11-01,WSC,145.0
GFI,M,2026-05-08,TD3,2026-12-01,WSC,208.0
GFI,M,2026-05-08,TD20,2026-12-01,WSC,154.0
GFI,M,2026-05-08,TD7,2026-12-01,WSC,174.0
GFI,M,2026-05-08,TD8,2026-12-01,WSC,205.0
GFI,M,2026-05-08,TD25,2026-12-01,WSC,240.0
GFI,M,2026-05-08,TD22,2026-12-01,LSM,14.25
GFI,M,2026-05-08,TD19,2026-12-01,WSC,150.0
GFI,Q,2026-05-08,TD3,2026-07-01,WSC,234.0
GFI,Q,2026-05-08,TD20,2026-07-01,WSC,143.0
GFI,Q,2026-05-08,TD7,2026-07-01,WSC,165.0
GFI,Q,2026-05-08,TD8,2026-07-01,WSC,185.333333
GFI,Q,2026-05-08,TD25,2026-07-01,WSC,220.0
GFI,Q,2026-05-08,TD22,2026-07-01,LSM,12.75
GFI,Q,2026-05-08,TD19,2026-07-01,WSC,140.0
GFI,Q,2026-05-08,TD3,2026-10-01,WSC,200.0
GFI,Q,2026-05-08,TD20,2026-10-01,WSC,145.0
GFI,Q,2026-05-08,TD7,2026-10-01,WSC,170.0
GFI,Q,2026-05-08,TD8,2026-10-01,WSC,198.333333
GFI,Q,2026-05-08,TD25,2026-10-01,WSC,230.0
GFI,Q,2026-05-08,TD22,2026-10-01,LSM,13.5
GFI,Q,2026-05-08,TD19,2026-10-01,WSC,143.333333
GFI,Q,2026-05-08,TD3,2027-01-01,PMT,29.0
