source,periodType,date,instrument,period,uom,value
GFI,BITR,2026-08-18,TD3,2026-08-01,WSC,514.44
GFI,BITR,2026-08-18,TD20,2026-08-01,WSC,328.33
GFI,BITR,2026-08-18,TD7,2026-08-01,WSC,202.08
GFI,BITR,2026-08-18,TD8,2026-08-01,WSC,324.17
GFI,BITR,2026-08-18,TD25,2026-08-01,WSC,361.67
GFI,BITR,2026-08-18,TD22,2026-08-01,LSM,20.322222
GFI,BITR,2026-08-18,TD19,2026-08-01,WSC,227.5
GFI,M,2026-08-18,TD3,2026-08-01,WSC,489.0
GFI,M,2026-08-18,TD20,2026-08-01,WSC,251.0
GFI,M,2026-08-18,TD7,2026-08-01,WSC,210.0
GFI,M,2026-08-18,TD8,2026-08-01,WSC,415.0
GFI,M,2026-08-18,TD25,2026-08-01,WSC,334.75
GFI,M,2026-08-18,TD22,2026-08-01,LSM,19.35
GFI,M,2026-08-18,TD19,2026-08-01,WSC,240.0
GFI,M,2026-08-18,TD3,2026-09-01,WSC,510.0
GFI,M,2026-08-18,TD20,2026-09-01,WSC,276.0
GFI,M,2026-08-18,TD7,2026-09-01,WSC,200.0
GFI,M,2026-08-18,TD8,2026-09-01,WSC,350.0
GFI,M,2026-08-18,TD25,2026-09-01,WSC,325.0
GFI,M,2026-08-18,TD22,2026-09-01,LSM,22.5
GFI,M,2026-08-18,TD19,2026-09-01,WSC,200.0
GFI,M,2026-08-18,TD3,2026-10-01,WSC,490.0
GFI,M,2026-08-18,TD20,2026-10-01,WSC,247.5
GFI,M,2026-08-18,TD7,2026-10-01,WSC,195.0
GFI,M,2026-08-18,TD8,2026-10-01,WSC,280.0
GFI,M,2026-08-18,TD25,2026-10-01,WSC,300.0
GFI,M,2026-08-18,TD22,2026-10-01,LSM,22.5
GFI,M,2026-08-18,TD19,2026-10-01,WSC,165.0
GFI,M,2026-08-18,TD3,2026-11-01,WSC,460.0
GFI,M,2026-08-18,TD20,2026-11-01,WSC,227.5
GFI,M,2026-08-18,TD7,2026-11-01,WSC,185.0
GFI,M,2026-08-18,TD8,2026-11-01,WSC,260.0
GFI,M,2026-08-18,TD25,2026-11-01,WSC,290.0
GFI,M,2026-08-18,TD22,2026-11-01,LSM,22.25
GFI,M,2026-08-18,TD19,2026-11-01,WSC,153.0
GFI,M,2026-08-18,TD3,2026-12-01,WSC,430.0
GFI,M,2026-08-18,TD20,2026-12-01,WSC,215.0
GFI,M,2026-08-18,TD7,2026-12-01,WSC,175.0
GFI,M,2026-08-18,TD8,2026-12-01,WSC,240.0
GFI,M,2026-08-18,TD25,2026-12-01,WSC,280.0
GFI,M,2026-08-18,TD22,2026-12-01,LSM,22.0
GFI,M,2026-08-18,TD19,2026-12-01,WSC,150.0
GFI,M,2026-08-18,TD3,2027-01-01,PMT,87.5
GFI,M,2026-08-18,TD20,2027-01-01,PMT,36.65
GFI,M,2026-08-18,TD7,2027-01-01,PMT,16.4
GFI,M,2026-08-18,TD8,2027-01-01,PMT,23.5
GFI,M,2026-08-18,TD25,2027-01-01,PMT,50.5
GFI,M,2026-08-18,TD22,2027-01-01,LSM,21.0
GFI,M,2026-08-18,TD19,2027-01-01,PMT,15.75
GFI,M,2026-08-18,TD3,2027-02-01,PMT,85.0
GFI,M,2026-08-18,TD20,2027-02-01,PMT,33.15
GFI,M,2026-08-18,TD7,2027-02-01,PMT,15.9
GFI,M,2026-08-18,TD8,2027-02-01,PMT,22.5
GFI,M,2026-08-18,TD25,2027-02-01,PMT,50.5
GFI,M,2026-08-18,TD22,2027-02-01,LSM,20.0
GFI,M,2026-08-18,TD19,2027-02-01,PMT,14.75
GFI,M,2026-08-18,TD3,2027-03-01,PMT,82.5
GFI,M,2026-08-18,TD20,2027-03-01,PMT,29.65
GFI,M,2026-08-18,TD7,2027-03-01,PMT,15.4
GFI,M,2026-08-18,TD8,2027-03-01,PMT,21.5
GFI,M,2026-08-18,TD25,2027-03-01,PMT,50.5
GFI,M,2026-08-18,TD22,2027-03-01,LSM,19.0
GFI,M,2026-08-18,TD19,2027-03-01,PMT,13.75
GFI,Q,2026-08-18,TD3,2026-10-01,WSC,460.0
GFI,Q,2026-08-18,TD20,2026-10-01,WSC,230.0
GFI,Q,2026-08-18,TD7,2026-10-01,WSC,185.0
GFI,Q,2026-08-18,TD8,2026-10-01,WSC,260.0
GFI,Q,2026-08-18,TD25,2026-10-01,WSC,290.0
GFI,Q,2026-08-18,TD22,2026-10-01,LSM,22.25
GFI,Q,2026-08-18,TD19,2026-10-01,WSC,156.0
GFI,Q,2026-08-18,TD3,2027-01-01,PMT,85.0
GFI,Q,2026-08-18,TD20,2027-01-01,PMT,33.15
GFI,Q,2026-08-18,TD7,2027-01-01,PMT,15.9
GFI,Q,2026-08-18,TD8,2027-01-01,PMT,22.5
GFI,Q,2026-08-18,TD25,2027-01-01,PMT,50.5
GFI,Q,2026-08-18,TD22,2027-01-01,LSM,20.0
GFI,Q,2026-08-18,TD19,2027-01-01,PMT,14.75
GFI,Q,2026-08-18,TD3,2027-04-01,PMT,69.0
GFI,Q,2026-08-18,TD20,2027-04-01,PMT,26.65
GFI,Q,2026-08-18,TD7,2027-04-01,PMT,14.7
GFI,Q,2026-08-18,TD8,2027-04-01,PMT,20.5
GFI,Q,2026-08-18,TD25,2027-04-01,PMT,43.0
GFI,Q,2026-08-18,TD22,2027-04-01,LSM,17.5
GFI,Q,2026-08-18,TD19,2027-04-01,PMT,13.25
GFI,Q,2026-08-18,TD3,2027-07-01,PMT,42.0
GFI,Q,2026-08-18,TD20,2027-07-01,PMT,22.9
GFI,Q,2026-08-18,TD7,2027-07-01,PMT,14.1
GFI,Q,2026-08-18,TD8,2027-07-01,PMT,19.1
GFI,Q,2026-08-18,TD25,2027-07-01,PMT,38.75
GFI,Q,2026-08-18,TD22,2027-07-01,LSM,14.75
GFI,Q,2026-08-18,TD19,2027-07-01,PMT,13.0
GFI,Q,2026-08-18,TD3,2027-10-01,PMT,44.0
