period,plmName,periodicity
BITR,NaN,BITR
MTD,NaN,MTD
CAL10,1/1/2010,yearly
CAL11,1/1/2011,yearly
CAL12,1/1/2012,yearly
CAL13,1/1/2013,yearly
CAL14,1/1/2014,yearly
CAL15,1/1/2015,yearly
CAL16,1/1/2016,yearly
CAL17,1/1/2017,yearly
CAL18,1/1/2018,yearly
CAL19,1/1/2019,yearly
CAL20,1/1/2020,yearly
CAL21,1/1/2021,yearly
CAL22,1/1/2022,yearly
CAL23,1/1/2023,yearly
CAL24,1/1/2024,yearly
CAL25,1/1/2025,yearly
CAL26,1/1/2026,yearly
CAL27,1/1/2027,yearly
CAL28,1/1/2028,yearly
CAL29,1/1/2029,yearly
CAL30,1/1/2030,yearly
CAL31,1/1/2031,yearly
CAL32,1/1/2032,yearly
CAL33,1/1/2033,yearly
CAL34,1/1/2034,yearly
CAL35,1/1/2035,yearly
CAL36,1/1/2036,yearly
CAL37,1/1/2037,yearly
CAL38,1/1/2038,yearly
CAL39,1/1/2039,yearly
CAL40,1/1/2040,yearly
CAL41,1/1/2041,yearly
CAL42,1/1/2042,yearly
CAL43,1/1/2043,yearly
CAL44,1/1/2044,yearly
CAL45,1/1/2045,yearly
CAL46,1/1/2046,yearly
CAL47,1/1/2047,yearly
CAL48,1/1/2048,yearly
CAL49,1/1/2049,yearly
CAL50,1/1/2050,yearly
Q1-10,1/1/2010,quarterly
Q2-10,4/1/2010,quarterly
Q3-10,7/1/2010,quarterly
Q4-10,10/1/2010,quarterly
Q1-11,1/1/2011,quarterly
Q2-11,4/1/2011,quarterly
Q3-11,7/1/2011,quarterly
Q4-11,10/1/2011,quarterly
Q1-12,1/1/2012,quarterly
Q2-12,4/1/2012,quarterly
Q3-12,7/1/2012,quarterly
Q4-12,10/1/2012,quarterly
Q1-13,1/1/2013,quarterly
Q2-13,4/1/2013,quarterly
Q3-13,7/1/2013,quarterly
Q4-13,10/1/2013,quarterly
Q1-14,1/1/2014,quarterly
Q2-14,4/1/2014,quarterly
Q3-14,7/1/2014,quarterly
Q4-14,10/1/2014,quarterly
Q1-15,1/1/2015,quarterly
Q2-15,4/1/2015,quarterly
Q3-15,7/1/2015,quarterly
Q4-15,10/1/2015,quarterly
Q1-16,1/1/2016,quarterly
Q2-16,4/1/2016,quarterly
Q3-16,7/1/2016,quarterly
Q4-16,10/1/2016,quarterly
Q1-17,1/1/2017,quarterly
Q2-17,4/1/2017,quarterly
Q3-17,7/1/2017,quarterly
Q4-17,10/1/2017,quarterly
Q1-18,1/1/2018,quarterly
Q2-18,4/1/2018,quarterly
Q3-18,7/1/2018,quarterly
Q4-18,10/1/2018,quarterly
Q1-19,1/1/2019,quarterly
Q2-19,4/1/2019,quarterly
Q3-19,7/1/2019,quarterly
Q4-19,10/1/2019,quarterly
Q1-20,1/1/2020,quarterly
Q2-20,4/1/2020,quarterly
Q3-20,7/1/2020,quarterly
Q4-20,10/1/2020,quarterly
Q1-21,1/1/2021,quarterly
Q2-21,4/1/2021,quarterly
Q3-21,7/1/2021,quarterly
Q4-21,10/1/2021,quarterly
Q1-22,1/1/2022,quarterly
Q2-22,4/1/2022,quarterly
Q3-22,7/1/2022,quarterly
Q4-22,10/1/2022,quarterly
Q1-23,1/1/2023,quarterly
Q2-23,4/1/2023,quarterly
Q3-23,7/1/2023,quarterly
Q4-23,10/1/2023,quarterly
Q1-24,1/1/2024,quarterly
Q2-24,4/1/2024,quarterly
Q3-24,7/1/2024,quarterly
Q4-24,10/1/2024,quarterly
Q1-25,1/1/2025,quarterly
Q2-25,4/1/2025,quarterly
Q3-25,7/1/2025,quarterly
Q4-25,10/1/2025,quarterly
Q1-26,1/1/2026,quarterly
Q2-26,4/1/2026,quarterly
Q3-26,7/1/2026,quarterly
Q4-26,10/1/2026,quarterly
Q1-27,1/1/2027,quarterly
Q2-27,4/1/2027,quarterly
Q3-27,7/1/2027,quarterly
Q4-27,10/1/2027,quarterly
Q1-28,1/1/2028,quarterly
Q2-28,4/1/2028,quarterly
Q3-28,7/1/2028,quarterly
Q4-28,10/1/2028,quarterly
Q1-29,1/1/2029,quarterly
Q2-29,4/1/2029,quarterly
Q3-29,7/1/2029,quarterly
Q4-29,10/1/2029,quarterly
Q1-30,1/1/2030,quarterly
Q2-30,4/1/2030,quarterly
Q3-30,7/1/2030,quarterly
Q4-30,10/1/2030,quarterly
Q1-31,1/1/2031,quarterly
Q2-31,4/1/2031,quarterly
Q3-31,7/1/2031,quarterly
Q4-31,10/1/2031,quarterly
Q1-32,1/1/2032,quarterly
Q2-32,4/1/2032,quarterly
Q3-32,7/1/2032,quarterly
Q4-32,10/1/2032,quarterly
Q1-33,1/1/2033,quarterly
Q2-33,4/1/2033,quarterly
Q3-33,7/1/2033,quarterly
Q4-33,10/1/2033,quarterly
Q1-34,1/1/2034,quarterly
Q2-34,4/1/2034,quarterly
Q3-34,7/1/2034,quarterly
Q4-34,10/1/2034,quarterly
Q1-35,1/1/2035,quarterly
Q2-35,4/1/2035,quarterly
Q3-35,7/1/2035,quarterly
Q4-35,10/1/2035,quarterly
Q1-36,1/1/2036,quarterly
Q2-36,4/1/2036,quarterly
Q3-36,7/1/2036,quarterly
Q4-36,10/1/2036,quarterly
Q1-37,1/1/2037,quarterly
Q2-37,4/1/2037,quarterly
Q3-37,7/1/2037,quarterly
Q4-37,10/1/2037,quarterly
Q1-38,1/1/2038,quarterly
Q2-38,4/1/2038,quarterly
Q3-38,7/1/2038,quarterly
Q4-38,10/1/2038,quarterly
Q1-39,1/1/2039,quarterly
Q2-39,4/1/2039,quarterly
Q3-39,7/1/2039,quarterly
Q4-39,10/1/2039,quarterly
Q1-40,1/1/2040,quarterly
Q2-40,4/1/2040,quarterly
Q3-40,7/1/2040,quarterly
Q4-40,10/1/2040,quarterly
Q1-41,1/1/2041,quarterly
Q2-41,4/1/2041,quarterly
Q3-41,7/1/2041,quarterly
Q4-41,10/1/2041,quarterly
Q1-42,1/1/2042,quarterly
Q2-42,4/1/2042,quarterly
Q3-42,7/1/2042,quarterly
Q4-42,10/1/2042,quarterly
Q1-43,1/1/2043,quarterly
Q2-43,4/1/2043,quarterly
Q3-43,7/1/2043,quarterly
Q4-43,10/1/2043,quarterly
Q1-44,1/1/2044,quarterly
Q2-44,4/1/2044,quarterly
Q3-44,7/1/2044,quarterly
Q4-44,10/1/2044,quarterly
Q1-45,1/1/2045,quarterly
Q2-45,4/1/2045,quarterly
Q3-45,7/1/2045,quarterly
Q4-45,10/1/2045,quarterly
Q1-46,1/1/2046,quarterly
Q2-46,4/1/2046,quarterly
Q3-46,7/1/2046,quarterly
Q4-46,10/1/2046,quarterly
Q1-47,1/1/2047,quarterly
Q2-47,4/1/2047,quarterly
Q3-47,7/1/2047,quarterly
Q4-47,10/1/2047,quarterly
Q1-48,1/1/2048,quarterly
Q2-48,4/1/2048,quarterly
Q3-48,7/1/2048,quarterly
Q4-48,10/1/2048,quarterly
Q1-49,1/1/2049,quarterly
Q2-49,4/1/2049,quarterly
Q3-49,7/1/2049,quarterly
Q4-49,10/1/2049,quarterly
Q1-50,1/1/2050,quarterly
Q2-50,4/1/2050,quarterly
Q3-50,7/1/2050,quarterly
Q4-50,10/1/2050,quarterly
JAN-10,1/1/2010,monthly
FEB-10,2/1/2010,monthly
MAR-10,3/1/2010,monthly
APR-10,4/1/2010,monthly
MAY-10,5/1/2010,monthly
JUN-10,6/1/2010,monthly
JUL-10,7/1/2010,monthly
AUG-10,8/1/2010,monthly
SEP-10,9/1/2010,monthly
OCT-10,10/1/2010,monthly
NOV-10,11/1/2010,monthly
DEC-10,12/1/2010,monthly
JAN-11,1/1/2011,monthly
FEB-11,2/1/2011,monthly
MAR-11,3/1/2011,monthly
APR-11,4/1/2011,monthly
MAY-11,5/1/2011,monthly
JUN-11,6/1/2011,monthly
JUL-11,7/1/2011,monthly
AUG-11,8/1/2011,monthly
SEP-11,9/1/2011,monthly
OCT-11,10/1/2011,monthly
NOV-11,11/1/2011,monthly
DEC-11,12/1/2011,monthly
JAN-12,1/1/2012,monthly
FEB-12,2/1/2012,monthly
MAR-12,3/1/2012,monthly
APR-12,4/1/2012,monthly
MAY-12,5/1/2012,monthly
JUN-12,6/1/2012,monthly
JUL-12,7/1/2012,monthly
AUG-12,8/1/2012,monthly
SEP-12,9/1/2012,monthly
OCT-12,10/1/2012,monthly
NOV-12,11/1/2012,monthly
DEC-12,12/1/2012,monthly
JAN-13,1/1/2013,monthly
FEB-13,2/1/2013,monthly
MAR-13,3/1/2013,monthly
APR-13,4/1/2013,monthly
MAY-13,5/1/2013,monthly
JUN-13,6/1/2013,monthly
JUL-13,7/1/2013,monthly
AUG-13,8/1/2013,monthly
SEP-13,9/1/2013,monthly
OCT-13,10/1/2013,monthly
NOV-13,11/1/2013,monthly
DEC-13,12/1/2013,monthly
JAN-14,1/1/2014,monthly
FEB-14,2/1/2014,monthly
MAR-14,3/1/2014,monthly
APR-14,4/1/2014,monthly
MAY-14,5/1/2014,monthly
JUN-14,6/1/2014,monthly
JUL-14,7/1/2014,monthly
AUG-14,8/1/2014,monthly
SEP-14,9/1/2014,monthly
OCT-14,10/1/2014,monthly
NOV-14,11/1/2014,monthly
DEC-14,12/1/2014,monthly
JAN-15,1/1/2015,monthly
FEB-15,2/1/2015,monthly
MAR-15,3/1/2015,monthly
APR-15,4/1/2015,monthly
MAY-15,5/1/2015,monthly
JUN-15,6/1/2015,monthly
JUL-15,7/1/2015,monthly
AUG-15,8/1/2015,monthly
SEP-15,9/1/2015,monthly
OCT-15,10/1/2015,monthly
NOV-15,11/1/2015,monthly
DEC-15,12/1/2015,monthly
JAN-16,1/1/2016,monthly
FEB-16,2/1/2016,monthly
MAR-16,3/1/2016,monthly
APR-16,4/1/2016,monthly
MAY-16,5/1/2016,monthly
JUN-16,6/1/2016,monthly
JUL-16,7/1/2016,monthly
AUG-16,8/1/2016,monthly
SEP-16,9/1/2016,monthly
OCT-16,10/1/2016,monthly
NOV-16,11/1/2016,monthly
DEC-16,12/1/2016,monthly
JAN-17,1/1/2017,monthly
FEB-17,2/1/2017,monthly
MAR-17,3/1/2017,monthly
APR-17,4/1/2017,monthly
MAY-17,5/1/2017,monthly
JUN-17,6/1/2017,monthly
JUL-17,7/1/2017,monthly
AUG-17,8/1/2017,monthly
SEP-17,9/1/2017,monthly
OCT-17,10/1/2017,monthly
NOV-17,11/1/2017,monthly
DEC-17,12/1/2017,monthly
JAN-18,1/1/2018,monthly
FEB-18,2/1/2018,monthly
MAR-18,3/1/2018,monthly
APR-18,4/1/2018,monthly
MAY-18,5/1/2018,monthly
JUN-18,6/1/2018,monthly
JUL-18,7/1/2018,monthly
AUG-18,8/1/2018,monthly
SEP-18,9/1/2018,monthly
OCT-18,10/1/2018,monthly
NOV-18,11/1/2018,monthly
DEC-18,12/1/2018,monthly
JAN-19,1/1/2019,monthly
FEB-19,2/1/2019,monthly
MAR-19,3/1/2019,monthly
APR-19,4/1/2019,monthly
MAY-19,5/1/2019,monthly
JUN-19,6/1/2019,monthly
JUL-19,7/1/2019,monthly
AUG-19,8/1/2019,monthly
SEP-19,9/1/2019,monthly
OCT-19,10/1/2019,monthly
NOV-19,11/1/2019,monthly
DEC-19,12/1/2019,monthly
JAN-20,1/1/2020,monthly
FEB-20,2/1/2020,monthly
MAR-20,3/1/2020,monthly
APR-20,4/1/2020,monthly
MAY-20,5/1/2020,monthly
JUN-20,6/1/2020,monthly
JUL-20,7/1/2020,monthly
AUG-20,8/1/2020,monthly
SEP-20,9/1/2020,monthly
OCT-20,10/1/2020,monthly
NOV-20,11/1/2020,monthly
DEC-20,12/1/2020,monthly
